2016-01-23T02:59:26

TEST smarsa_BirthdaySpacings 	done 0.11214406455016915

TEST sknuth_Collision 	done 0.21101655816975384

TEST sknuth_Gap 	done 0.12801907733933826

 sknuth_SimpPoker 	done 0.3208329484129151

TEST sknuth_CouponCollector 	done 0.5789707312828707

TEST sknuth_MaxOft 	done (0.9999999998017043,0.20595852305680196)

TEST svaria_WeightDistrib 	done 0.5973576926256866

TEST smarsa_MatrixRank 	done 0.9368563540625974

TEST sstring_HammingIndep 	done 0.7132999233197269

TEST swalk_RandomWalk1 	done(0.00010080729475470118,0.01686210035352076,0.01676256375928642,0.939555238880218,0.666644791827255)
2016-01-23T07:15:57
