2016-01-24T20:35:47

TEST smarsa_BirthdaySpacings 	done 0.5336216850647422

TEST sknuth_Collision 	done 0.8118373823923644

TEST sknuth_Gap 	done 0.3668190048089389

 sknuth_SimpPoker 	done 0.741947614912254

TEST sknuth_CouponCollector 	done 0.19091178022517996

TEST sknuth_MaxOft 	done (0.9600874009055977,7.833913004962056e-6)

TEST svaria_WeightDistrib 	done 0.07832063053372829

TEST smarsa_MatrixRank 	done 0.974634913336327

TEST sstring_HammingIndep 	done 0.9580427728635162

TEST swalk_RandomWalk1 	done(0.9472223638115939,0.9930126190206734,0.7845908289620689,0.7678653672304336,0.6509979357866452)
2016-01-25T00:31:34
